,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
222,UMass Lowell,ASEC,1415.797,-12 🟠@@-12.34265137,1406.416,1595.116,49.45583
223,Pepperdine,WCC,1415.202,-2 🟠@@-1.785583496,1328.979,1487.885,27.05788
224,Wyoming,MWC,1414.383,-10 🟠@@-10.11499023,1414.383,1619.395,64.00555
225,La Salle,A-10,1413.922,-4 🟠@@-4.157226563,1354.611,1602.962,36.52592
226,Campbell,CAA,1413.786,-47 🟠@@-47.22039795,1332.593,1573.145,42.40497
227,Portland,WCC,1411.201,-37 🟠@@-37.32446289,1268.273,1464.07,9.592941
228,Fordham,A-10,1409.983,-6 🟠@@-6.041625977,1360.862,1539.326,23.56824
229,Evansville,MVC,1409.057,-27 🟠@@-27.22058105,1290.372,1484.068,60.90301
230,Northern Arizona,Big Sky,1408.951,-11 🟠@@-11.44335938,1346.479,1420.394,35.4266
231,Hofstra,CAA,1408.181,-14 🟠@@-13.96557617,1382.041,1636.303,48.49524
232,U Miami (FL),ACC,1407.769,+14 🟢@@13.6741333,1392.014,1654.389,31.35724
233,Little Rock,OVC,1407.011,-24 🟠@@-23.87469482,1407.011,1573.611,59.58633
234,Presbyterian,Big South,1405.544,-10 🟠@@-9.611328125,1292.998,1482.504,46.35913
235,Sacred Heart,MAAC,1405.208,-8 🟠@@-8.307861328,1299.468,1430.941,41.3224
236,William & Mary,CAA,1403.095,-50 🟠@@-50.21655273,1292.721,1520.021,54.55812
237,Richmond,A-10,1401.014,-9 🟠@@-9.315612793,1395.949,1630.966,43.06155
238,Ohio,MAC,1400.927,-18 🟠@@-17.91845703,1400.927,1517.49,91.03237
239,Georgia St.,Sun Belt,1400.824,-8 🟠@@-7.796691895,1287.447,1423.574,42.31125
240,Georgia Southern,Sun Belt,1400.621,-24 🟠@@-24.02404785,1325.544,1438.611,59.90484
241,Southern,SWAC,1400.602,-22 🟠@@-21.8828125,1242.421,1437.843,70.04644
242,Jackson St.,SWAC,1399.706,-17 🟠@@-16.74462891,1217.269,1416.451,60.50646
243,Albany,ASEC,1398.67,-7 🟠@@-6.585205078,1344.83,1442.623,38.20927
244,Central Michigan,MAC,1397.065,-27 🟠@@-26.74041748,1370.798,1451.809,43.33521
245,Rice,AAC,1396.423,-16 🟠@@-15.83538818,1396.423,1575.079,14.51923
246,South Dakota,Summit,1394.627,-29 🟠@@-29.33557129,1301.482,1423.963,57.48384
247,Hawaii,Big West,1394.495,-3 🟠@@-2.649475098,1394.495,1541.233,28.70985
248,Northwestern St.,Southland,1394.033,-7 🟠@@-7.397094727,1237.409,1401.43,41.78796
249,Navy,Patriot,1393.819,-30 🟠@@-29.62860107,1205.301,1423.448,27.37903
250,Tulsa,AAC,1392.799,-6 🟠@@-5.795288086,1313.785,1499.104,69.45988
251,Tarleton St.,WAC,1390.456,-7 🟠@@-6.807617188,1378.607,1609.057,60.54803
252,Tennessee St.,OVC,1390.067,-10 🟠@@-10.32745361,1228.528,1400.395,51.83928
253,Seton Hall,Big East,1387.455,-5 🟠@@-5.131530762,1387.455,1752.003,47.45955
254,Longwood,Big South,1385.808,-10 🟠@@-10.33850098,1373.331,1559.927,51.37585
255,UC Davis,Big West,1380.986,-17 🟠@@-16.62438965,1363.265,1554.754,43.10932
256,Cal State Bakersfield,Big West,1379.757,-9 🟠@@-9.0703125,1362.64,1470.873,55.20432
257,Marist,MAAC,1378.226,-11 🟠@@-11.47613525,1378.226,1558.054,43.65986
258,Idaho,Big Sky,1377.677,-10 🟠@@-9.822265625,1258.582,1406.081,42.30186
259,Toledo,MAC,1375.31,-6 🟠@@-6.158569336,1336.876,1613.939,81.09523
260,FIU,CUSA,1370.634,-7 🟠@@-6.793273926,1337.823,1430.79,31.1853
261,Eastern Michigan,MAC,1368.713,-10 🟠@@-9.715026855,1260.383,1382.848,52.3714
262,Wright St.,Horizon,1366.628,-9 🟠@@-9.145141602,1365.781,1593.513,70.06582
263,SE Louisiana,Southland,1362.876,-18 🟠@@-18.47979736,1260.245,1436.348,47.31641
264,Siena,MAAC,1361.883,-11 🟠@@-11.28546143,1199.009,1428.767,59.54915
265,Old Dominion,Sun Belt,1361.82,-9 🟠@@-9.190307617,1267.125,1384.387,66.25261
266,Charlotte,AAC,1361.528,-5 🟠@@-4.715209961,1350.408,1624.306,39.86613
267,Penn,Ivy,1358,-15 🟠@@-15.38781738,1306.534,1455.793,60.88781
268,Alabama State Hornets,SWAC,1353.811,+17 🟢@@16.74462891,1194.153,1353.811,52.64035
269,Austin Peay,A-Sun,1351.538,-9 🟠@@-9.334838867,1291.679,1457.828,57.03857
270,LIU,NSEC,1349.155,-22 🟠@@-21.67816162,1185.261,1370.833,57.11798
271,Kansas City,Summit,1347.638,-10 🟠@@-9.620239258,1302.938,1470.489,32.79446
272,VMI,Southern,1345.9,-12 🟠@@-12.0512085,1217.895,1382.534,26.4227
273,North Dakota,Summit,1343.854,-11 🟠@@-11.05908203,1256.569,1473.906,47.92348
274,Mercer,Southern,1343.25,-5 🟠@@-5.211608887,1328.431,1455.878,41.32499
275,Colgate,Patriot,1338.544,-11 🟠@@-11.11804199,1324.04,1497.223,39.23954
276,Missouri St.,MVC,1337.008,-13 🟠@@-12.74926758,1314.202,1592.799,66.75289
277,Texas Southern,SWAC,1334.083,-15 🟠@@-15.21002197,1231.104,1349.293,60.99839
278,Saint Peter's,MAAC,1330.434,+5 🟢@@5.3203125,1314.095,1493.444,35.08934
279,Binghamton,ASEC,1329.862,-6 🟠@@-6.417114258,1309.096,1396.93,36.06658
280,Gardner-Webb,Big South,1327.054,-6 🟠@@-6.088256836,1313.509,1464.775,44.40248
281,Bethune-Cookman,SWAC,1322.529,-34 🟠@@-34.46191406,1273.176,1389.833,31.99647
282,Rider,MAAC,1319.988,-14 🟠@@-13.84265137,1258.134,1512.435,46.91217
283,Saint Francis (PA),NSEC,1319.671,+28 🟢@@27.92492676,1152.031,1319.671,44.55206
284,Delaware St.,MEAC,1317.628,-14 🟠@@-14.30029297,1265.485,1363.249,35.17213
285,Fairfield,MAAC,1317.268,-22 🟠@@-21.89581299,1249.172,1487.045,31.52733
286,Bowling Green,MAC,1316.701,-5 🟠@@-5.118347168,1240.237,1422.169,55.72574
287,Boston University,Patriot,1315.808,-24 🟠@@-24.34002686,1291.453,1397.071,33.79908
288,North Florida,A-Sun,1315.627,-40 🟠@@-39.95776367,1315.627,1528.805,48.99681
289,Western Michigan,MAC,1313.481,-5 🟠@@-5.385742188,1234.638,1347.926,57.00724
290,Ball St.,MAC,1312.875,-7 🟠@@-6.608642578,1286.111,1418.007,53.48707
291,UMBC,ASEC,1312.848,-3 🟠@@-3.257446289,1297.226,1430.124,28.27946
292,Incarnate Word,Southland,1306.854,-7 🟠@@-6.853149414,1145.542,1337.984,42.55541
293,Columbia,Ivy,1306.01,-6 🟠@@-5.911682129,1306.01,1588.581,31.8901
294,Lafayette,Patriot,1306,-4 🟠@@-4.327026367,1249.773,1339.935,41.05686
295,Lehigh,Patriot,1305.371,-13 🟠@@-12.60675049,1262.374,1412.185,35.45932
296,Eastern Illinois,OVC,1303.424,+55 🟢@@54.83117676,1136.97,1303.424,36.79884
297,Fresno St.,MWC,1301.721,-6 🟠@@-6.169494629,1301.721,1517.927,53.40534
298,Pacific,WCC,1293.78,-17 🟠@@-16.87261963,1199.973,1346.748,44.76378
299,UT Rio Grande Valley,Southland,1286.594,+9 🟢@@8.981811523,1222.984,1374.658,25.82293
300,Eastern Washington,Big Sky,1284.082,-19 🟠@@-19.2822876,1284.082,1543.181,54.53994
301,Niagara,MAAC,1280.595,-5 🟠@@-4.670593262,1242.921,1384.631,42.03513
302,Louisiana (Lafayette),Sun Belt,1276.335,-40 🟠@@-40.43493652,1217.442,1468.681,56.10416
303,Fairleigh Dickinson,NSEC,1271.16,-2 🟠@@-2.452941895,1215.211,1306.09,31.0811
304,Weber St.,Big Sky,1267.744,-9 🟠@@-8.922119141,1237.754,1468.312,79.60571
305,Southern Utah,WAC,1266.966,-21 🟠@@-20.79644775,1266.966,1493.038,48.1163
306,Loyola Maryland,Patriot,1266.914,-3 🟠@@-3.054016113,1193.134,1331.529,37.35854
307,Air Force,MWC,1266.23,-2 🟠@@-1.60369873,1266.23,1512.047,23.91716
